ID;Nome;Nome Fantasia;Razão Social;CNPJ;Telefone;Celular;E-mail;WhatsApp;Website;Endereço Completo;Rua;Número;Complemento;Bairro;Cidade;Estado;CEP;Setor;Categoria;Responsável;Data Cadastro;Total Histórico;Total Negócios;Descrição
2286;A A Afonso;A A Afonso;;;(1) 13757-2264;;;;;Santo André, 232, Vila Assunção, 09020230;Santo André;232;;Vila Assunção;;;09020230;Geral / Outros;Sem Categoria;Não Atribuído;11/01/2022 00:47;0;0;NULL
949;A melhor alimentação Franco Da Rocha;A melhor alimentação Franco Da Rocha;;;(11) 4811-3710;;;;;Rua Nelson Rodrigues, UPA praça da saúde, Vale de São Domingos, SP;Rua Nelson Rodrigues;;UPA praça da saúde;;Vale de São Domingos;SP;;Geral / Outros;Sem Categoria;Não Atribuído;17/02/2016 17:54;1;0;
200;A.P Mirante;A.P Mirante;;;(11) 2979-8719;;;;;Avenida Leôncio de Magalhães, 1170, Jardim São Paulo(Zona Norte), Álvares Florence, SP, 02042001;Avenida Leôncio de Magalhães;1170;;Jardim São Paulo(Zona Norte);Álvares Florence;SP;02042001;Geral / Outros;Sem Categoria;Não Atribuído;11/08/2015 16:14;0;0;
2404;A.R.W - Oggi Restaurante;A.R.W - Oggi Restaurante;;;(1) 15054-6230;;;;;Oswaldo Casimiro Muller, 76, Cidade Monções, 04571030;Oswaldo Casimiro Muller;76;;Cidade Monções;;;04571030;Geral / Outros;Sem Categoria;Não Atribuído;11/01/2022 00:47;0;0;NULL
445;A.S Transportes;A.S Transportes;;57705097000155;(11) 2902-8888;;;;http://www.astur.com.br/;Rua São Quirino, 209, Vila Guilherme, Álvares Florence, SP, 02056070;Rua São Quirino;209;;Vila Guilherme;Álvares Florence;SP;02056070;Geral / Outros;Sem Categoria;Não Atribuído;11/08/2015 16:11;0;0;
2198;A2A Abc;A2A Abc;;;;;;;;Pereira Barreto, 42, Paraiso, 09190210;Pereira Barreto;42;;Paraiso;;;09190210;Geral / Outros;Sem Categoria;Não Atribuído;11/01/2022 00:47;0;0;NULL
2500;A2A - Sky Asia Sbc;A2A - Sky Asia Sbc;;;;;;;;Rotary, 624, Centro, 09721000;Rotary;624;;Centro;;;09721000;Geral / Outros;Sem Categoria;Não Atribuído;11/01/2022 00:47;0;0;NULL
2439;A2A  - Skyasia Tucuruvi;A2A  - Skyasia Tucuruvi;;;;;;;;Dr. Antonio Maria Laet, 566, Parada Inglesa, 02307120;Dr. Antonio Maria Laet;566;;Parada Inglesa;;;02307120;Geral / Outros;Sem Categoria;Não Atribuído;11/01/2022 00:47;0;0;NULL
879;AB Brasil;AB Brasil;;;(14) 3283-8054;;;;;;;;;;;;;Geral / Outros;Sem Categoria;Não Atribuído;05/02/2016 15:28;2;0;
870;Abatedouro Aves Gonzalez;Abatedouro Aves Gonzalez;;;(17) 3386-9801;;;;;Estr.Vicinal Ricieri Cola, Km 1.9, Zona Rural, Campo Limpo Paulista, SP, 15820000;Estr.Vicinal Ricieri Cola;;Km 1.9;Zona Rural;Campo Limpo Paulista;SP;15820000;Geral / Outros;Sem Categoria;Não Atribuído;22/10/2015 18:21;2;0;
153;Abatedouro Avicola Carraro;Abatedouro Avicola Carraro;;;(19) 3656-3714;;;;;;;;;;;;;Geral / Outros;Sem Categoria;Não Atribuído;11/08/2015 17:57;4;0;
717;Abatedouro Coroaves;Abatedouro Coroaves;;;(43) 3218-9000;(44) 3261-8800;suelen@coroaves.com.br;(44) 3261-8800;;Rio Branco do Sul, PR;;;;;Rio Branco do Sul;PR;;Geral / Outros;Sem Categoria;Não Atribuído;01/09/2015 17:02;0;0;"Visita 24.08. Compram da Pluron a 20 anos e pretendem testar nossos produtos em 2016 pois estão com reformas. Fazem parte do grupo Uni Frango, mas compram separado.
145 mil frangos/dia"
2328;Abatedouro De Aves Ideal - Pereiras;Abatedouro De Aves Ideal - Pereiras;;;(1) 43888-1370;;;;;Vereador Marcos Martins, 99, Zona Indl Pereiras, 18580000;Vereador Marcos Martins;99;;Zona Indl Pereiras;;;18580000;Geral / Outros;Sem Categoria;Não Atribuído;11/01/2022 00:47;0;0;NULL
2110;Abm - Ceva;Abm - Ceva;;;(1) 12894-3933;;;;;Pref João Vilallobo Quero, 1560, Jardim Belval, 06422122;Pref João Vilallobo Quero;1560;;Jardim Belval;;;06422122;Geral / Outros;Sem Categoria;Não Atribuído;11/01/2022 00:47;0;0;NULL
2126;Abm - Faturamento;Abm - Faturamento;;;(1) 12894-3933;;;;;Califórnia, 1336, Cidade Monções, 04566062;Califórnia;1336;;Cidade Monções;;;04566062;Geral / Outros;Sem Categoria;Não Atribuído;11/01/2022 00:47;0;0;NULL
2100;Abm Grupo;Abm Grupo;;;;;;;;Gérson Andréis, 1500, Cidade Nova, 95112130;Gérson Andréis;1500;;Cidade Nova;;;95112130;Geral / Outros;Sem Categoria;Não Atribuído;11/01/2022 00:47;0;0;NULL
2234;Abm - Krissol;Abm - Krissol;;;(1) 12894-3933;;;;;Papa João Xxiii, 3341, Loteamento Industrial Coral, 09370800;Papa João Xxiii;3341;;Loteamento Industrial Coral;;;09370800;Geral / Outros;Sem Categoria;Não Atribuído;11/01/2022 00:47;0;0;NULL
2105;Abm - Lc Barueri 7097;Abm - Lc Barueri 7097;;;(1) 12894-3933;;;;;Prefeito João Vilallobo Quero, 1505, Jardim Itaquiti, 06422060;Prefeito João Vilallobo Quero;1505;;Jardim Itaquiti;;;06422060;Geral / Outros;Sem Categoria;Não Atribuído;11/01/2022 00:47;0;0;NULL
2099;Abm - Neovia;Abm - Neovia;;;(1) 12894-3933;;;;;Prefeito João Vilallobo Quero, 2253, Jardim Belval, 06422122;Prefeito João Vilallobo Quero;2253;;Jardim Belval;;;06422122;Geral / Outros;Sem Categoria;Não Atribuído;11/01/2022 00:47;0;0;NULL
