ID;Título;Valor (R$);Etapa;Status;Empresa;Responsável;Data Cadastro;Descrição
3516;Negociando;R$ 0,00;Contato;Perdido;Ativa alimentos;;24/08/2015 21:32;estamos enviando apresentação, e retornar a ligar.
3526;Juquinha;R$ 12.000,00;Contato;Perdido;Balas Juquinha;;06/10/2014 23:34;Tentar agendar com Fernanda
3509;Beira Rio;R$ 1.000,00;Envio de proposta;Perdido;Beira Rio;;07/10/2014 05:20;
3511;Marcar visita;R$ 0,00;Contato;Perdido;Casa de show city bank hall;;24/08/2015 20:34;Entrei em contato estava em reunião passei todos os meus dados e Aguardo seu retorno
3489;Cassini;R$ 5.000,00;Contato;Perdido;Cassini;;07/10/2014 05:12;
3500;Céu Azul Alimentos;R$ 70.000,00;Contato;Perdido;Céu Azul Alimentos;;07/10/2014 04:15;
3499;Cobb;R$ 15.000,00;Contato;Perdido;Cobb Vantress;;07/10/2014 05:17;
3494;Cutrale - Colina;R$ 20.000,00;Contato;Perdido;Cutrale Sucocítrico;;07/10/2014 05:01;
3512;Frango Ouro;R$ 0,00;Contato;Perdido;Frango Ouro;;23/10/2014 18:31;
3493;Frango Rico;R$ 18.000,00;Contato;Perdido;Frango Rico;;07/10/2014 00:05;
3510;Estrela Alimentos;R$ 60.000,00;Contato;Perdido;Frigoestrela;;06/10/2014 22:33;Ele não tem certeza se vai estar lá. Na segunda-feira vai deixar uma pessoa responsável para acompanhar. / Aguardando testes iniciando em 13/10
3517;Frigorifico Angelelli;R$ 2.500,00;Contato;Perdido;Frigorifico Angelelli;;07/10/2014 04:42;
3498;Frigorifico BB;R$ 10.000,00;Contato;Em Andamento;Frigorifico BB;;06/10/2014 23:29;
3527;Boi Mix;R$ 2.500,00;Contato;Perdido;Frigorifico Boi Mix;;07/10/2014 03:45;
3497;Frigwest;R$ 2.500,00;Contato;Perdido;Frigwest;;07/10/2014 05:04;
3490;Guabi II;R$ 50.000,00;Contato;Perdido;Grupo Guabi;;07/10/2014 04:51;
3520;Andes Hinomoto;R$ 20.000,00;Contato;Perdido;Grupo Hinomoto;;07/10/2014 04:06;
3503;IMC;R$ 50.000,00;Contato;Perdido;Grupo IMC (Frango Assado);;06/10/2014 23:33;Tentar falar com Osmar
3523;Guabi (Petcare);R$ 50.000,00;Contato;Perdido;Guabi Petcare;;07/10/2014 00:00;Fornecimento a partir de 2016
3519;Hospital de Base;R$ 75.000,00;Contato;Perdido;Hospital de Base de Rio Preto;;07/10/2014 04:46;
3505;Hospital Samaritano;R$ 30.000,00;Contato;Perdido;Hospital Samaritano;;07/10/2014 05:24;
3502;Testar produto;R$ 0,00;Contato;Perdido;Intermezzo;;24/08/2015 21:54;teste nesta sexta feira dia 29/08/2015
3530;JBS;R$ 100.000,00;Contato;Perdido;JBS;;07/10/2014 04:57;
3524;Jundiá;R$ 0,00;Contato;Perdido;Jundiá;;03/11/2014 21:32;
3495;La Basque;R$ 15.000,00;Contato;Perdido;La Basque;;07/10/2014 04:23;
3532;Lanxess;R$ 20.000,00;Contato;Perdido;Lanxess;;07/10/2014 04:31;Cobrar branquinha sobre valores
3501;Laticinios Estrela;R$ 10.000,00;Contato;Perdido;Laticinios Estrela D Oeste;;07/10/2014 03:51;
3508;Manserv;R$ 20.000,00;Contato;Perdido;Manserv;;07/10/2014 16:12;
3496;Marfrig;R$ 100.000,00;Contato;Perdido;Marfrig;;07/10/2014 05:34;Já fechou contrato de dois anos com a Diversey em Maio de 2014.
3506;Marvi;R$ 0,00;Contato;Perdido;Marvi Sorvetes;;29/10/2014 18:10;
3518;Masterfoods;R$ 100.000,00;Envio de proposta;Perdido;Masterfoods;;07/10/2014 03:30;
3528;Minerva;R$ 100.000,00;Contato;Perdido;Minerva Foods;;06/10/2014 23:58;
3521;Mondelez;R$ 100.000,00;Contato;Perdido;Mondelez;;07/10/2014 05:40;
3492;Negociando;R$ 0,00;Contato;Perdido;Nutrisom 9 de julho;;24/08/2015 20:32;pediu para retornar a ligação após as 15:00 hs
3525;Poly Vac;R$ 0,00;Contato;Perdido;Poly Vac;;07/10/2014 05:27;
3507;Dolly;R$ 15.000,00;Contato;Perdido;Refrigerantes Dolly;;06/10/2014 23:39;
3522;Santa Casa Auriflama;R$ 15.000,00;Contato;Perdido;Santa Casa de Auriflama;;07/10/2014 03:38;
3529;Sebo Jales;R$ 0,00;Contato;Perdido;Sebo Jales;;07/10/2014 04:25;
3488;Negociando;R$ 0,00;Contato;Perdido;Tom Brasil casa de show;;24/08/2015 22:36;"trabalha com a melhoramentos ,sabonete e papel, produto químico é da henko
foi enviado apresentação. dia 24/08/2015"
3515;Total Alimentos;R$ 50.000,00;Contato;Perdido;Total Alimentos;;07/10/2014 05:09;
3513;Usina Santa Isabel;R$ 10.000,00;Contato;Perdido;Usina Santa Isabel;;07/10/2014 04:41;
3514;Zappas;R$ 10.000,00;Contato;Perdido;Zappas;;06/10/2014 23:46;
