ID;ID Servidor;Data;Empresa;Contato/Pessoa;Usuário;Texto do Histórico / Anotação
2639;;15/04/2024 13:57:18;Revix;;Victor; 
2636;86972379;11/05/2022 17:15:10;Rocha Pan;;Victor;Luciana está em um tempo corrido e disse que final do ano é mais tranquilo para homologar produtos. Ligar perto de Setembro / Outubro.
2637;86965880;11/05/2022 15:33:29;Rocha Pan;;Victor;"""Bete não se encontra na empresa"". Luciana está em horário de almoço."
2638;86964712;11/05/2022 15:11:04;Casa Suíca;;Victor;Andressa atendeu o telefone, e informou que as questões sobre higienização e limpeza agora estão com Maria Jaqueline e/ou André, e eles chegam hoje às 13:00.
2635;82143813;18/01/2022 11:48:16;Pgr - Adiente;;Victor;estava ocupada em reunião. Foi deixado na portaria.
2634;82110009;15/01/2022 13:37:55;Rascal Market Place;;Victor;"Enviado seguinte email à Simone: 
“No Rascal Market Place eles precisam do seguinte:
- 2 diluidores para a parte de cima do restaurante
- bomba de galão para eles usarem no alcool gel (4) e detergente diluído
- Adesivos com nome dos produtos
- Amostra do Pro HS para substituirem candida

De resto, está tudo ok. “"
2633;81938520;12/01/2022 14:05:39;Pgr - Abcp;;Victor;"Foi um instalado diluidor e enviado o seguinte email a Sueli: “Sueli, coloquei aqui na ABCP um diluidor para o AB-AL, mas precisa furar a parede para fixar, e ele está apoiado nos que já estavam instalados. Quando o pessoal da manutenção vier, só precisa que fure a parede e fixe, coloque a etiqueta padrão (improvisei uma), e coloque um suporte para o AB-AL. Os outros produtos tem suporte. Caso tenha etiqueta atualizada dos outros produtos, já dá pra trocar na mesma manutenção.” A visita foi acompanhada pela colaboradora Axel.

Como foi a visita:

Email “Sueli, coloquei aqui na ABCP um diluidor para o AB-AL, mas precisa furar a parede para fixar, e ele está apoiado nos que já estavam instalados. Quando o pessoal da manutenção vier, só precisa que fure a parede e fixe, coloque a etiqueta padrão (improvisei uma), e coloque um suporte para o AB-AL. Os outros produtos tem suporte. Caso tenha etiqueta atualizada dos outros produtos, já dá pra trocar na mesma manutenção.”"
2620;81813994;08/01/2022 12:48:15;RASCAL VILA LOBOS;;Victor;"Cliente prefere uma linha de sanitizantes diferente do HS.
E um sanitizante para hortifrutícolas que podem ser consumidos."
2602;81804300;07/01/2022 17:15:45;PGR -  DCC CAJAMAR;;Victor;Visita
2628;23190930;23/10/2017 10:46:57;Plastirrico;;Renan;Visita 19/10. apresentado modelo de negócio e coletadas informações e amostras.
2610;12620752;04/10/2016 11:18:18;Pão de Queijo e Cia;;Renan;"Entregue cartão nas mãos dos menino da qualidade que trabalha com a Karla que parece ser a gerente industrial e filha da dona 

producao@...."
2619;11827137;05/09/2016 14:03:30;Batel Alimentos;;Flavio;Entrar em contato em outubro 
2615;11827136;05/09/2016 13:30:03;Brico bread ;;Flavio;05.09 entrei em contato com Djalma, recebeu orçamento. Agendaremos visita para semana de 12.08, pois essa semana é feriado em Cotia. 
2627;11807300;02/09/2016 19:35:32;Frigorifico Super Frango ;;Victor;Rose disse que Ricardo está de férias, mas volta dia 12/09 às 7:30 da manhã. Encontrá-lo lá. Se não conseguir, falar com Daniela.
2630;11800041;02/09/2016 17:27:22;Renome Refeições;;Flavio;Inaugurou nova unidade no mes de agosto. Retornar ligacao 08.09 testarmos com Sidneu comprador
2607;11800040;02/09/2016 17:20:14;Brico bread ;;Flavio;Ligar para agendar visita 05.09.2016. Ja encaminhei e-mail com orçamento. Compram da Larkim
2626;11799204;02/09/2016 15:04:26;Cooper Lat ;;Renan;Retornar ligacao final de setembro
2614;11799203;02/09/2016 15:02:26;Brico bread ;;Renan;Retornar ligaçao para agendar visita final de setembro
2631;11795128;02/09/2016 14:33:56;Brico bread ;;Flavio;"Conversei com o Djalma na quarta 31.08.16, enviei por e-mail orçamento e agendar visita para semana do dia 05.09. Compram da Larkim

"
2621;9754330;06/06/2016 14:29:50;Frigorifico Friato;;Victor;"Luciano está com a agenda apertada nessa semana, mas disse que posso tentar passar na sexta-feira de manhãzinha. Tentar passar perto das 7:30.

Ou ligar e tentar marcar na segunda-feira."
2603;9753834;06/06/2016 14:21:28;Catupiry (Bebedouro);;Victor;Thalita Paganelli disse que as auditorias mudaram para 06 e 07 de Julho, e é melhor ligar em Agosto.
2629;9749302;06/06/2016 12:55:50;Minerva Foods;;Victor;Reunião agendada para quarta às 9:00
2606;9471137;19/05/2016 18:51:25;Minerva Foods;;Victor;Vitor vai ajudar Juliana nas próximas semanas, pediu para receber visita no início de junho.
2632;9468032;19/05/2016 18:02:03;Marfrig;;Victor;"Sandro informou que a Diversey saiu e entrou a New Drop. Laércio não está mais na empresa. Tatiane que está no setor de compras.

Ligar"
2604;9259839;10/05/2016 18:46:18;Pif Paf (Visconde do Rio Branco);;Victor;Visita agendada para 19/05 às 7:00 com Cassiana em Visconde do Rio Branco. 
2608;9259696;10/05/2016 18:43:57;Frigorifico Super Frango ;;Victor;Visita agendada com Ricardo para dia 06/06. Ligar 03/06 para ter certeza.
2624;9235643;10/05/2016 17:38:07;Minerva Foods;;Victor;Vitor está enrolado nessa semana com questões da BPF e pediu para ligar no fim do mês para definir os testes. Ligar no final da semana do dia 16 para passar lá na semana do dia 23.
2601;9026945;29/04/2016 15:35:15;Castelo alimentos.;;Jessica;lilian irá analisar um possível teste.
2625;8981107;27/04/2016 18:13:43;Pif Paf (Visconde do Rio Branco);;Victor;Cassiana está respondendo auditoria. Só sexta-feira.
2609;8970342;27/04/2016 13:22:13;Frigorifico Super Frango ;;Victor;Enviado fichas técnicas novamente. Pedido visita para a semana de 16/05 ou 23/05. Ficar em cima.
2605;8954962;26/04/2016 17:38:37;Marilan;;Victor;Irineu passou o contato do Alexandre da Pluron. Transferiu e deu liberdade para conversar com o Edemir, mas a ligação caiu.
2616;8606854;07/04/2016 12:23:09;Frigorífico Better Beef;;Alexandre Malhado;"Jaqueline estava fazendo integração e não poe atender o telefone. Ligarei hoje no período da tarde.

"
2622;8606745;07/04/2016 12:18:56;Neolat;;Alexandre Malhado;"Fui informado pela empresa que o Senhor Gerson não faz mais parte da equipe. Mandei e-mail para Luciano para darmos continuidade.

lucianoguimaraes@queijosipanema.com.br"
2613;8463363;30/03/2016 15:09:22;Kopenhagen;;Victor;Reunião marcada para amanhã!!
2611;8461967;30/03/2016 14:33:56;Kopenhagen;;Victor;Ricardo vai falar com Andreia e retornar para confirmar se pode me receber na segunda-feira (04/01).
2617;8461552;30/03/2016 14:26:00;Cobb Vantress;;Victor;Leonardo está em viagem. Ligar amanhã.
2623;8460529;30/03/2016 14:09:46;Marilan;;Victor;Edemir vai falar com a Silvana e com o Irineu. Vai retornar para falar se podem receber visita amanhã.
2618;8358604;23/03/2016 14:32:45;Guabi Petcare;;Victor;Alderley só amanhã.
2612;8356684;23/03/2016 13:52:29;C-Vale;;Victor;Partir, começar! Vaaaamoo!!
2512;8317196;21/03/2016 18:37:18;Danone - Água;;Victor;Rafael de férias. Resposta automática. Enviado e-mail para Samara.
2537;8316578;21/03/2016 18:23:19;Jazam Alimentos;;Victor;Produtos deixados para teste. E-mail enviado perguntando qual foi mais eficiente para limepeza dos tachos.
2563;8316314;21/03/2016 18:18:18;Kopenhagen;;Victor;Andre não trabalha mais na empresa. E-mail encaminhando para Ricardo Ishikawa. Vai responder com data da visita.
2589;8315972;21/03/2016 18:11:20;Danone - Água;;Victor;Enviado e-mail novamente.
2582;8283813;18/03/2016 14:15:52;Guabi Petcare;;Victor;Estava viajando e deixou para testarem os produtos. Vai ver se fizeram os testes e vai dar retorno.
2575;8272468;17/03/2016 19:25:59;Frig West;;Alexandre Malhado;Rui não se encontra na empresa.
2509;8261865;17/03/2016 14:06:03;Moinho Santa Clara;;Jessica;Ligar proxima semana
2578;8261366;17/03/2016 13:54:38;Integral Alimentação ;;Jessica;"3660-1660
"
2528;8261318;17/03/2016 13:53:30;Integral Alimentação ;;Jessica;3215-7019   Gildete
2515;8261019;17/03/2016 13:46:39;Consuma;;Jessica;Vamos realizar os testes começo de abril
2571;8258994;17/03/2016 13:05:57;Pro Nutri Refeições;;Jessica;Reunião Pro Nutri 16 hs.
2570;8184105;14/03/2016 11:30:50;Frigorífico Boi Mix;;Alexandre Malhado;CNPJ 18.715.000/0001-33 foi consultado no dia 11/03/16 e está aprovado.
