ID;Data Agendamento;Finalizado?;Data Finalização;Empresa;Contato;Responsável;Descrição da Tarefa
1619;15/04/2024 13:56:47;Sim;15/04/2024 13:56:47;Revix;;Victor; 
1617;18/01/2022 11:47:55;Sim;18/01/2022 11:47:55;Pgr - Adiente;;Victor;estava ocupada em reunião. Foi deixado na portaria.
1618;15/01/2022 12:36:25;Sim;15/01/2022 12:36:25;Rascal Market Place;;Victor;"Enviado seguinte email à Simone: 
“No Rascal Market Place eles precisam do seguinte:
- 2 diluidores para a parte de cima do restaurante
- bomba de galão para eles usarem no alcool gel (4) e detergente diluído
- Adesivos com nome dos produtos
- Amostra do Pro HS para substituirem candida

De resto, está tudo ok. “"
1616;15/01/2022 12:36:25;Sim;15/01/2022 12:36:25;;;;
1615;13/01/2022 02:59:59;Sim;13/01/2022 09:05:20;Pgr - Abcp;;Victor;"Foi um instalado diluidor e enviado o seguinte email a Sueli: “Sueli, coloquei aqui na ABCP um diluidor para o AB-AL, mas precisa furar a parede para fixar, e ele está apoiado nos que já estavam instalados. Quando o pessoal da manutenção vier, só precisa que fure a parede e fixe, coloque a etiqueta padrão (improvisei uma), e coloque um suporte para o AB-AL. Os outros produtos tem suporte. Caso tenha etiqueta atualizada dos outros produtos, já dá pra trocar na mesma manutenção.” A visita foi acompanhada pela colaboradora Axel.

Como foi a visita:

Email “Sueli, coloquei aqui na ABCP um diluidor para o AB-AL, mas precisa furar a parede para fixar, e ele está apoiado nos que já estavam instalados. Quando o pessoal da manutenção vier, só precisa que fure a parede e fixe, coloque a etiqueta padrão (improvisei uma), e coloque um suporte para o AB-AL. Os outros produtos tem suporte. Caso tenha etiqueta atualizada dos outros produtos, já dá pra trocar na mesma manutenção.”"
1614;13/01/2022 02:59:59;Sim;13/01/2022 09:05:20;;;;
1613;13/01/2022 02:59:59;Não;;;;;
1612;13/01/2022 02:59:59;Não;;;;;
1596;11/01/2022 02:59:59;Sim;10/01/2022 16:08:10;PGR -  DCC CAJAMAR;;Victor;Visita
1609;08/01/2022 12:47:28;Sim;08/01/2022 12:47:28;RASCAL VILA LOBOS;;Victor;"Cliente prefere uma linha de sanitizantes diferente do HS.
E um sanitizante para hortifrutícolas que podem ser consumidos."
746;28/05/2020 17:00:00;Não;;JLA Alimentação;;Adriana;"Última visita em abril/2015. Entrei em contato com Sandra.



Tentar contato com o Amancio.

"
1141;18/08/2017 12:05:00;Não;;Festival Ceagesp;;Jessica;"deixei o nosso produto instalado no diluidor da Ecolab.

proxima semana ligar para o Leandro."
1598;03/10/2016 13:00:22;Não;;Batel Alimentos;;Flavio;Entrar em contato em outubro 
1599;28/09/2016 13:00:59;Não;;Cooper Lat ;;Renan;Retornar ligacao final de setembro
1606;28/09/2016 13:00:19;Não;;Brico bread ;;Renan;Retornar ligaçao para agendar visita final de setembro
1610;13/09/2016 02:59:59;Não;;Frigorifico Super Frango ;;Victor;Rose disse que Ricardo está de férias, mas volta dia 12/09 às 7:30 da manhã. Encontrá-lo lá. Se não conseguir, falar com Daniela.
1585;12/09/2016 13:00:56;Não;;Brico bread ;;Flavio;05.09 entrei em contato com Djalma, recebeu orçamento. Agendaremos visita para semana de 12.08, pois essa semana é feriado em Cotia. 
1600;08/09/2016 13:25:15;Não;;Renome Refeições;;Flavio;Inaugurou nova unidade no mes de agosto. Retornar ligacao 08.09 testarmos com Sidneu comprador
1594;05/09/2016 13:00:43;Sim;02/09/2016 14:35:37;Brico bread ;;Flavio;"Conversei com o Djalma na quarta 31.08.16, enviei por e-mail orçamento e agendar visita para semana do dia 05.09. Compram da Larkim

"
1583;05/09/2016 13:00:09;Não;;Brico bread ;;Flavio;Ligar para agendar visita 05.09.2016. Ja encaminhei e-mail com orçamento. Compram da Larkim
1588;15/07/2016 02:59:59;Não;;Catupiry (Bebedouro);;Victor;Thalita Paganelli disse que as auditorias mudaram para 06 e 07 de Julho, e é melhor ligar em Agosto.
1238;13/07/2016 18:00:00;Não;;Cepam Panificadora;;Simone;06.10 - Falei com Marcos novamente, disse que tem contrato com a Ecolab, e encerra em agosto de 2016, combinei de retornar para ele nessa época.
1489;02/07/2016 02:59:59;Não;;Matilat;;Alexandre Malhado;Contato realizado com a própria Ana Carolina e a mesma relatou que no momento não está aberta para testes com produtos de higienização. Pediu para entrar em contato futuramente.
1590;11/06/2016 02:59:59;Não;;Frigorifico Friato;;Victor;"Luciano está com a agenda apertada nessa semana, mas disse que posso tentar passar na sexta-feira de manhãzinha. Tentar passar perto das 7:30.

Ou ligar e tentar marcar na segunda-feira."
1586;09/06/2016 02:59:59;Não;;Minerva Foods;;Victor;Reunião agendada para quarta às 9:00
1587;04/06/2016 02:59:59;Sim;02/09/2016 19:35:31;Frigorifico Super Frango ;;Victor;Visita agendada com Ricardo para dia 06/06. Ligar 03/06 para ter certeza.
1591;03/06/2016 02:59:59;Sim;06/06/2016 12:55:59;Minerva Foods;;Victor;Vitor vai ajudar Juliana nas próximas semanas, pediu para receber visita no início de junho.
1540;27/05/2016 02:59:59;Não;;Santa Helena;;Victor;Regina foi simpática, estão na correria da implantação do SAP, vão estar na correria no meio do ano porque vem a safra de amendoim, mas mesmo assim pediu para ligar em Maio.
1602;21/05/2016 02:59:59;Não;;Marfrig;;Victor;"Sandro informou que a Diversey saiu e entrou a New Drop. Laércio não está mais na empresa. Tatiane que está no setor de compras.

Ligar"
1584;20/05/2016 02:59:59;Sim;19/05/2016 18:51:28;Minerva Foods;;Victor;Vitor está enrolado nessa semana com questões da BPF e pediu para ligar no fim do mês para definir os testes. Ligar no final da semana do dia 16 para passar lá na semana do dia 23.
1611;19/05/2016 02:59:59;Não;;Pif Paf (Visconde do Rio Branco);;Victor;Visita agendada para 19/05 às 7:00 com Cassiana em Visconde do Rio Branco. 
1502;13/05/2016 02:59:59;Não;;Santa Casa de Auriflama;;Alexandre Malhado;Mirian relatou que a Santa Casa ainda continua com dificuldades e no momento não estão comprando de fornecedores.
1560;03/05/2016 02:59:59;Não;;Salute São Carlos;;Alexandre Malhado;Regiane ainda encontra-se afastada. Previsão de retorno apenas em maio.
1605;30/04/2016 02:59:59;Sim;10/05/2016 18:44:01;Frigorifico Super Frango ;;Victor;Enviado fichas técnicas novamente. Pedido visita para a semana de 16/05 ou 23/05. Ficar em cima.
